"id","name","module","description","created_at","updated_at"
"22660","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-11 06:12:18","2024-09-11 06:12:18"
"22651","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-11 06:08:29","2024-09-11 06:08:29"
"22650","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-11 06:08:18","2024-09-11 06:08:18"
"22546","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-11 03:53:05","2024-09-11 03:53:05"
"22545","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-11 03:53:05","2024-09-11 03:53:05"
"22544","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-11 03:53:05","2024-09-11 03:53:05"
"22543","RegisterController","android","[firebase_auth/unknown] An internal error has occurred. [ DUPLICATE_RAW_ID","2024-09-11 03:53:00","2024-09-11 03:53:00"
"22233","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-10 17:48:27","2024-09-10 17:48:27"
"22232","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-10 17:48:23","2024-09-10 17:48:23"
"22129","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-10 15:51:30","2024-09-10 15:51:30"
"22128","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-10 15:51:29","2024-09-10 15:51:29"
"22127","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-10 15:51:27","2024-09-10 15:51:27"
"22126","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-10 15:51:23","2024-09-10 15:51:23"
"22079","RegisterController","android","PlatformException(sign_in_failed, com.google.android.gms.common.api.b: 8: , null, null)","2024-09-10 15:08:54","2024-09-10 15:08:54"
"22078","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 15:07:30","2024-09-10 15:07:30"
"22071","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 15:02:12","2024-09-10 15:02:12"
"21949","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-10 12:54:34","2024-09-10 12:54:34"
"21942","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 12:44:16","2024-09-10 12:44:16"
"21923","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 12:23:51","2024-09-10 12:23:51"
"21882","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-10 11:40:01","2024-09-10 11:40:01"
"21858","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 11:08:55","2024-09-10 11:08:55"
"21839","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.unknown, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1000.))","2024-09-10 10:48:20","2024-09-10 10:48:20"
"21837","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 10:47:41","2024-09-10 10:47:41"
"21833","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 10:41:58","2024-09-10 10:41:58"
"21826","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-10 10:36:02","2024-09-10 10:36:02"
"21825","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-10 10:35:58","2024-09-10 10:35:58"
"21822","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-10 10:35:33","2024-09-10 10:35:33"
"21821","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-10 10:34:40","2024-09-10 10:34:40"
"21777","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-10 09:36:19","2024-09-10 09:36:19"
"21771","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 09:27:14","2024-09-10 09:27:14"
"21763","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 09:18:03","2024-09-10 09:18:03"
"21762","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 09:18:01","2024-09-10 09:18:01"
"21750","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-10 09:04:43","2024-09-10 09:04:43"
"21736","RegisterController","android","[firebase_auth/invalid-credential] ""Invalid Value""
}","2024-09-10 08:45:37","2024-09-10 08:45:37"
"21692","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-10 07:42:41","2024-09-10 07:42:41"
"21685","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 07:30:36","2024-09-10 07:30:36"
